code,feature,chi2,freq,source,order,count,max_freq,code_feature,code_color
Minority Student Recruitment,Spring,28.55897866119204,4,key,10,5,122,Minority Student RecruitmentSpring,Minority Student Recruitment
Minority Student Recruitment,,0,0,key,11,0,122,Minority Student Recruitment,Minority Student Recruitment
Minority Student Recruitment,,0,0,key,12,0,122,Minority Student Recruitment,Minority Student Recruitment
Reparations,Descendant,220.54971689644904,100,key,1,2,2,ReparationsDescendant,Reparations
Reparations,Enslaved,71.5726096855382,100,key,10,2,2,ReparationsEnslaved,Reparations
Reparations,Repayment,123.16907516291394,50,key,2,1,2,ReparationsRepayment,Reparations
Reparations,Earned,123.16907516291394,50,key,3,1,2,ReparationsEarned,Reparations
Reparations,Fundraiser,123.16907516291394,50,key,4,1,2,ReparationsFundraiser,Reparations
Reparations,Amateur,123.16907516291394,50,key,5,1,2,ReparationsAmateur,Reparations
Reparations,Minstrel,123.16907516291394,50,key,6,1,2,ReparationsMinstrel,Reparations
Reparations,Performer,123.16907516291394,50,key,7,1,2,ReparationsPerformer,Reparations
Reparations,Blackface,123.16907516291394,50,key,8,1,2,ReparationsBlackface,Reparations
Reparations,Yellowface,123.16907516291394,50,key,9,1,2,ReparationsYellowface,Reparations
Reparations,,0,0,key,11,0,2,Reparations,Reparations
Reparations,,0,0,key,12,0,2,Reparations,Reparations
Research or Coursework,Course,189.6249123349845,100,key,1,49,49,Research or CourseworkCourse,Research or Coursework
Research or Coursework,Studies,76.38684579286719,43,key,2,21,49,Research or CourseworkStudies,Research or Coursework
Research or Coursework,Race,28.490696056688932,37,key,10,18,49,Research or CourseworkRace,Research or Coursework
Research or Coursework,History,32.568059592243934,35,key,7,17,49,Research or CourseworkHistory,Research or Coursework
Research or Coursework,Study,29.231712612332526,31,key,8,15,49,Research or CourseworkStudy,Research or Coursework
Research or Coursework,Requirement,63.187350713030796,22,key,3,11,49,Research or CourseworkRequirement,Research or Coursework
Research or Coursework,Curriculum,46.5218401556434,22,key,6,11,49,Research or CourseworkCurriculum,Research or Coursework
Research or Coursework,Credit,56.534303079205465,18,key,4,9,49,Research or CourseworkCredit,Research or Coursework
Research or Coursework,Power,49.2104228412352,18,key,5,9,49,Research or CourseworkPower,Research or Coursework
Research or Coursework,Offering,28.62358416990436,12,key,9,6,49,Research or CourseworkOffering,Research or Coursework
Research or Coursework,,0,0,key,11,0,49,Research or Coursework,Research or Coursework
Research or Coursework,,0,0,key,12,0,49,Research or Coursework,Research or Coursework
School Climate,Ed,18.093452463345432,100,key,1,24,24,School ClimateEd,School Climate
School Climate,Training,13.597205247131457,83,key,5,20,24,School ClimateTraining,School Climate
School Climate,Policy,15.19086109776389,67,key,4,16,24,School ClimatePolicy,School Climate
School Climate,Mentoring,17.442707840689433,62,key,2,15,24,School ClimateMentoring,School Climate
School Climate,Statement,16.97792922466584,42,key,3,10,24,School ClimateStatement,School Climate
School Climate,Case,10.891894121115067,33,key,8,8,24,School ClimateCase,School Climate
School Climate,Tutorial,10.891894121115067,33,key,9,8,24,School ClimateTutorial,School Climate
School Climate,Alcohol,10.891894121115067,33,key,10,8,24,School ClimateAlcohol,School Climate
School Climate,Advising,12.882665935827173,25,key,6,6,24,School ClimateAdvising,School Climate
School Climate,Mentorship,12.882665935827173,25,key,7,6,24,School ClimateMentorship,School Climate
School Climate,,0,0,key,11,0,24,School Climate,School Climate
School Climate,,0,0,key,12,0,24,School Climate,School Climate
Spaces and Places,Space,60.35050124284121,100,key,2,21,21,Spaces and PlacesSpace,Spaces and Places
Spaces and Places,Grounds,54.147855171925,81,key,3,17,21,Spaces and PlacesGrounds,Spaces and Places
Spaces and Places,Memorial,40.20315204077177,43,key,10,9,21,Spaces and PlacesMemorial,Spaces and Places
Spaces and Places,Plaque,72.37141371363766,33,key,1,7,21,Spaces and PlacesPlaque,Spaces and Places
Spaces and Places,Historical,42.54701249199346,29,key,9,6,21,Spaces and PlacesHistorical,Spaces and Places
Spaces and Places,Confederate,48.28224582684946,24,key,4,5,21,Spaces and PlacesConfederate,Spaces and Places
Spaces and Places,Marker,48.28224582684946,24,key,5,5,21,Spaces and PlacesMarker,Spaces and Places
Spaces and Places,Fig,48.28224582684946,24,key,6,5,21,Spaces and PlacesFig,Spaces and Places
Spaces and Places,Barringer,48.28224582684946,24,key,7,5,21,Spaces and PlacesBarringer,Spaces and Places
Spaces and Places,Holiday,48.28224582684946,24,key,8,5,21,Spaces and PlacesHoliday,Spaces and Places
Spaces and Places,,0,0,key,11,0,21,Spaces and Places,Spaces and Places
Spaces and Places,,0,0,key,12,0,21,Spaces and Places,Spaces and Places
